name,count
GoogleTagManager                ,42
google-plus-ios-sdk             ,20
GoogleAnalytics-iOS-SDK         ,11
BugSense                        ,7
GoogleIDFASupport               ,31
PLCrashReporter                 ,26
MillennialMediaSDK              ,106
Google-Mobile-Ads-SDK           ,11
BRRecord                        ,92
(9 rows)
